Title,PriceMin,PriceMax,Sold,Rating,Shipping,Store,URL
Summer beautiful ladies super high-heeled platform flip-flops11cm beach shoes slippers wedding slippers women shoes luxury,19.4,19.99,252,4.8,4.21,XMISTUO Footwear Store,https://www.aliexpress.com/item/32978991560.html
ZYYZYM Men Slippers Shoes Flip-Flops Letter Man Sandals Outdoor-Light Grain Casual Summer,2.53,4.14,57,5,0,ZYYZYM Footwear Store,https://www.aliexpress.com/item/4000849932985.html
Vulcanize Shoes Sneakers Spring Casual Fashion Women's Solid-Color New Classic PU White,9.53,11.12,163,4.8,3.24,ZILSEN Factory Store,https://www.aliexpress.com/item/4000960442594.html
Women Sneakers Shoes Loafers Breathable Summer Casual Mesh Slip-On Flat-Sock,10.8,10.8,102,5,0,BaiRuiLun Store,https://www.aliexpress.com/item/10000126637557.html
Sandals Outdoor Men Shoes Casual-Shoes Breathable Summer Footwear Tyh6 Handmade,5.37,6.71,20,0,8.15,Shop4995230 Store,https://www.aliexpress.com/item/4000465125871.html
XMISTUO Slippers Toe Sandals Flip-Flops Thick-Soled Korean Big-Size Summer Cool Breathable,8.99,8.99,849,4.8,4.21,XMISTUO Footwear Store,https://www.aliexpress.com/item/32783462203.html
White Sneakers Gym-Shoes Tenis Sport Fashion Women Feminino Breathable Air-Mesh Walking,5.99,9.44,45,3.3,0,Shop4495071 Store,https://www.aliexpress.com/item/4000975777584.html
EPHER Sandals Flip-Flops Shower Slip-On-Gripper Bath Anti-Slip Beach Mens Poolside Footwear,7.43,8.2,134,4.8,1.81,winwinmotion,https://www.aliexpress.com/item/4000544268539.html
CAMEL High Quality Summer Soft Light Comfortable Men sandals Shoes Outdoor Beach Plus Big Size Casual Non-Slip shoe Man,21.13,33.64,37,5,0,Camel Men's Store,https://www.aliexpress.com/item/4000759917053.html
Mhysa Platform Shoes Chaussure Women Sneakers White Trainers Femme Fashion Ladies New,10.63,12.7,151,4.4,0,Mhysa YL Store,https://www.aliexpress.com/item/4000015590323.html
White Sneakers Shoes Socks Vulcanized-Shoes Tenis Ladies Trainers Feminino Casual Summer,8.28,11.7,230,4.7,0,WENKOUBAN Apparel Dropshipping Store,https://www.aliexpress.com/item/4000642289281.html
Beach Sandals Slippers Flip-Flops Casual-Shoes Lightweight Male Summer New-Arrival Zapatos,5.97,6.95,18,5,0,My Siking Store,https://www.aliexpress.com/item/4000571084419.html
Slipper Sandals Sneaker Flip-Flops Classic Beach-Rubber Water-Trekking Outdoor Men,14.74,17.98,679,4.9,0,MIXIDELAI MIXIDELAI Store,https://www.aliexpress.com/item/32975587950.html
Women Sneakers Casual-Shoes Fashion Black Breathable Summer New Mesh for Sock,11.1,12.6,55,5,0,Mhysa YL Store,https://www.aliexpress.com/item/4000816731553.html
Home Slippers Bath-Sandal Couple Floor Hotel Bathroom Men Unisex Women Summer Indoor,2.91,3.3,814,4.8,1.99,BAG FOR YOU Store,https://www.aliexpress.com/item/4000505523642.html
Bedroom Shoes Slippers Chaussures Anti-Slip Femme Winter Indoors Home Unisex Warm Floor,2.42,3.18,17,0,1.36,Doudou Bags Store,https://www.aliexpress.com/item/4000402732503.html
Women Sneakers Vulcanized Shoes Breathable Sock Sneakers Summer Slip On Casual Shoes Flats Ladies Plus Size Running Shoes Loafer,11.01,12.75,8,0,1.36,Blivener Official Store,https://www.aliexpress.com/item/4001063048305.html
Woman Sneakers Vulcanized-Shoes Rainbow Fashion Women's Comfortable New Flat Retro Canvas,15.65,16.19,1080,4.9,0,HOPUS Store,https://www.aliexpress.com/item/4000058250264.html
Men Sandals Open-Shoes EVA Slip On Comfort Outdoor Breathable Plus-Size Casual Hombre,9.16,15.08,989,4.8,0,Abnkarwin Factory Store,https://www.aliexpress.com/item/32948667065.html
Safety-Shoes Sneakers Shoe-Work-Boots Ryder Steel-Toe Indestructible Waterproof Men Breathable,22.5,26.47,289,4.7,0,Loecktty Footwear Store,https://www.aliexpress.com/item/4000489691006.html
Flats-Shoes Moccasins Loafers Platform-Sneakers Slip On Suede Summer Women Ladies,8.84,9.82,43,0,0,Your Boutique Drop Shipping Store,https://www.aliexpress.com/item/4001049761574.html
Ladies Shoes Platform Breathable Femme Fashion Woman New Height NAUSK Chaussure Increasing,11.62,15.99,1,0,0,Shop5781552 Store,https://www.aliexpress.com/item/4000987850010.html
Sneakers Women Sock-Shoes Trainers Crystal Sparkly Ladies slip-On Casual Mujer Zapatillas,9.17,13.29,367,4.7,0,Wensilian Official Store,https://www.aliexpress.com/item/4000522566705.html
Summer Shoes Sneakers Breathable Women for Air-Mesh Girls,13.41,15.41,1,0,0,BESDE Store,https://www.aliexpress.com/item/4000812657142.html
